"data";"tipo_teste";"testes_negativos";"testes_positivos";"testes_inconclusivos"
2020-05-20;"TESTE RÁPIDO - ANTÍGENO";1091;691;1091
2020-05-20;NA;0;0;0
2020-05-21;"Enzimaimunoensaio  ELISA";3;1;3
2020-05-21;"Enzimaimunoensaio - ELISA IgM";91;11;91
2020-05-21;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";6;8;6
2020-05-21;"Quimioluminescência - CLIA";2;0;2
2020-05-21;"RT-PCR";5450;5693;5450
2020-05-21;"TESTE RÁPIDO - ANTICORPO";18271;11935;18271
2020-05-21;"TESTE RÁPIDO - ANTÍGENO";1103;772;1103
2020-05-21;NA;0;0;0
2020-05-22;"Enzimaimunoensaio  ELISA";9;9;9
2020-05-22;"Enzimaimunoensaio - ELISA IgM";138;6;138
2020-05-22;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";3;11;3
2020-05-22;"RT-PCR";5234;5113;5234
2020-05-22;"TESTE RÁPIDO - ANTICORPO";18660;11635;18660
2020-05-22;"TESTE RÁPIDO - ANTÍGENO";1207;757;1207
2020-05-22;NA;0;0;0
2020-05-23;"Enzimaimunoensaio - ELISA IgM";22;15;22
2020-05-23;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";2;3;2
2020-05-23;"Quimioluminescência - CLIA";1;0;1
2020-05-23;"RT-PCR";2521;2864;2521
2020-05-23;"TESTE RÁPIDO - ANTICORPO";7783;5197;7783
2020-05-23;"TESTE RÁPIDO - ANTÍGENO";462;379;462
2020-05-23;NA;0;0;0
2020-05-24;"Enzimaimunoensaio  ELISA";4;0;4
2020-05-24;"Enzimaimunoensaio - ELISA IgM";70;19;70
2020-05-24;"RT-PCR";1447;2847;1447
2020-05-24;"TESTE RÁPIDO - ANTICORPO";3933;2948;3933
2020-05-24;"TESTE RÁPIDO - ANTÍGENO";343;227;343
2020-05-25;"Enzimaimunoensaio  ELISA";2;0;2
2020-05-25;"Enzimaimunoensaio - ELISA IgM";48;19;48
2020-05-25;"Imunoensaio por Eletroquimioluminescência  ECLIA";1;1;1
2020-05-25;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";12;8;12
2020-05-25;"Quimioluminescência - CLIA";2;0;2
2020-05-25;"RT-PCR";5285;5481;5285
2020-05-25;"TESTE RÁPIDO - ANTICORPO";20143;14169;20143
2020-05-25;"TESTE RÁPIDO - ANTÍGENO";1259;887;1259
2020-05-25;NA;0;0;0
2020-05-26;"Enzimaimunoensaio  ELISA";3;1;3
2020-05-26;"Enzimaimunoensaio - ELISA IgM";30;10;30
2020-05-26;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";4;10;4
2020-05-26;"RT-PCR";4941;5132;4941
2020-05-26;"TESTE RÁPIDO - ANTICORPO";18202;12571;18202
2020-05-26;"TESTE RÁPIDO - ANTÍGENO";1136;880;1136
2020-05-26;NA;0;0;0
2020-05-27;"Enzimaimunoensaio  ELISA";1;0;1
2020-05-27;"Enzimaimunoensaio - ELISA IgM";45;12;45
2020-05-27;"Imunoensaio por Eletroquimioluminescência  ECLIA";0;1;0
2020-05-27;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";5;8;5
2020-05-27;"Quimioluminescência - CLIA";1;0;1
2020-05-27;"RT-PCR";6923;6836;6923
2020-05-27;"TESTE RÁPIDO - ANTICORPO";24687;15311;24687
2020-05-27;"TESTE RÁPIDO - ANTÍGENO";1623;1166;1623
2020-05-27;NA;0;0;0
2020-05-28;"Enzimaimunoensaio  ELISA";3;0;3
2020-05-28;"Enzimaimunoensaio - ELISA IgM";44;12;44
2020-05-28;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";7;5;7
2020-05-28;"Quimioluminescência - CLIA";0;2;0
2020-05-28;"RT-PCR";6578;5909;6578
2020-05-28;"TESTE RÁPIDO - ANTICORPO";24229;14795;24229
2020-05-28;"TESTE RÁPIDO - ANTÍGENO";1720;1151;1720
2020-05-28;NA;0;0;0
2020-05-29;"Enzimaimunoensaio  ELISA";5;2;5
2020-05-29;"Enzimaimunoensaio - ELISA IgM";53;7;53
2020-05-29;"Imunoensaio por Eletroquimioluminescência  ECLIA";0;1;0
2020-05-29;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";10;8;10
2020-05-29;"RT-PCR";6552;5896;6552
2020-05-29;"TESTE RÁPIDO - ANTICORPO";23974;13807;23974
2020-05-29;"TESTE RÁPIDO - ANTÍGENO";1705;1076;1705
2020-05-29;NA;0;0;0
2020-05-30;"Enzimaimunoensaio  ELISA";4;0;4
2020-05-30;"Enzimaimunoensaio - ELISA IgM";28;10;28
2020-05-30;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";3;4;3
2020-05-30;"Quimioluminescência - CLIA";1;0;1
2020-05-30;"RT-PCR";2302;2642;2302
2020-05-30;"TESTE RÁPIDO - ANTICORPO";8140;4978;8140
2020-05-30;"TESTE RÁPIDO - ANTÍGENO";462;408;462
2020-05-30;NA;0;0;0
2020-05-31;"Enzimaimunoensaio  ELISA";1;0;1
2020-05-31;"Enzimaimunoensaio - ELISA IgM";19;4;19
2020-05-31;"Imunoensaio por Eletroquimioluminescência  ECLIA";1;0;1
2020-05-31;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";0;4;0
2020-05-31;"RT-PCR";1603;2115;1603
2020-05-31;"TESTE RÁPIDO - ANTICORPO";3890;2651;3890
2020-05-31;"TESTE RÁPIDO - ANTÍGENO";220;178;220
2020-06-01;"Enzimaimunoensaio  ELISA";2;2;2
2020-06-01;"Enzimaimunoensaio - ELISA IgM";84;30;84
2020-06-01;"Imunoensaio por Eletroquimioluminescência  ECLIA";2;2;2
2020-06-01;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";8;6;8
2020-06-01;"RT-PCR";7394;6949;7394
2020-06-01;"TESTE RÁPIDO - ANTICORPO";26454;16073;26454
2020-06-01;"TESTE RÁPIDO - ANTÍGENO";1998;1192;1998
2020-06-01;NA;0;0;0
2020-06-02;"Enzimaimunoensaio  ELISA";15;0;15
2020-06-02;"Enzimaimunoensaio - ELISA IgM";39;19;39
2020-06-02;"Imunoensaio por Eletroquimioluminescência  ECLIA";0;3;0
2020-06-02;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";7;11;7
2020-06-02;"Quimioluminescência - CLIA";3;1;3
2020-06-02;"RT-PCR";7158;6481;7158
2020-06-02;"TESTE RÁPIDO - ANTICORPO";26681;16163;26681
2020-06-02;"TESTE RÁPIDO - ANTÍGENO";1824;1202;1824
2020-06-02;NA;0;0;0
2020-06-03;"Enzimaimunoensaio  ELISA";4;1;4
2020-06-03;"Enzimaimunoensaio - ELISA IgM";54;14;54
2020-06-03;"Imunoensaio por Eletroquimioluminescência  ECLIA";0;3;0
2020-06-03;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";17;8;17
2020-06-03;"Quimioluminescência - CLIA";1;0;1
2020-06-03;"RT-PCR";6956;6348;6956
2020-06-03;"TESTE RÁPIDO - ANTICORPO";28604;15686;28604
2020-06-03;"TESTE RÁPIDO - ANTÍGENO";1602;1217;1602
2020-06-03;NA;0;0;0
2020-06-04;"Enzimaimunoensaio  ELISA";25;1;25
2020-06-04;"Enzimaimunoensaio - ELISA IgM";16;10;16
2020-06-04;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";7;10;7
2020-06-04;"Quimioluminescência - CLIA";1;0;1
2020-06-04;"RT-PCR";6654;6059;6654
2020-06-04;"TESTE RÁPIDO - ANTICORPO";30581;15939;30581
2020-06-04;"TESTE RÁPIDO - ANTÍGENO";1885;1388;1885
2020-06-04;NA;0;0;0
2020-06-05;"Enzimaimunoensaio  ELISA";26;1;26
2020-06-05;"Enzimaimunoensaio - ELISA IgM";39;13;39
2020-06-05;"Imunoensaio por Eletroquimioluminescência  ECLIA";1;1;1
2020-06-05;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";9;24;9
2020-06-05;"Quimioluminescência - CLIA";4;0;4
2020-06-05;"RT-PCR";6190;7101;6190
2020-06-05;"TESTE RÁPIDO - ANTICORPO";30317;15468;30317
2020-06-05;"TESTE RÁPIDO - ANTÍGENO";1865;1241;1865
2020-06-05;NA;0;0;0
2020-06-06;"Enzimaimunoensaio  ELISA";23;2;23
2020-06-06;"Enzimaimunoensaio - ELISA IgM";59;11;59
2020-06-06;"Imunoensaio por Eletroquimioluminescência  ECLIA";2;0;2
2020-06-06;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";119;46;119
2020-06-06;"Quimioluminescência - CLIA";1;0;1
2020-06-06;"RT-PCR";2433;3254;2433
2020-06-06;"TESTE RÁPIDO - ANTICORPO";11460;6625;11460
2020-06-06;"TESTE RÁPIDO - ANTÍGENO";876;444;876
2020-06-06;NA;0;0;0
2020-06-07;"Enzimaimunoensaio  ELISA";9;2;9
2020-06-07;"Enzimaimunoensaio - ELISA IgM";1;8;1
2020-06-07;"Imunoensaio por Eletroquimioluminescência  ECLIA";0;2;0
2020-06-07;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";3;3;3
2020-06-07;"RT-PCR";1927;2687;1927
2020-06-07;"TESTE RÁPIDO - ANTICORPO";5587;4205;5587
2020-06-07;"TESTE RÁPIDO - ANTÍGENO";565;326;565
2020-06-08;"Enzimaimunoensaio  ELISA";1;1;1
2020-06-08;"Enzimaimunoensaio - ELISA IgM";41;15;41
2020-06-08;"Imunoensaio por Eletroquimioluminescência  ECLIA";2;3;2
2020-06-08;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";31;30;31
2020-06-08;"Quimioluminescência - CLIA";2;0;2
2020-06-08;"RT-PCR";7029;7395;7029
2020-06-08;"TESTE RÁPIDO - ANTICORPO";35910;18285;35910
2020-06-08;"TESTE RÁPIDO - ANTÍGENO";2165;1715;2165
2020-06-08;NA;0;0;0
2020-06-09;"Enzimaimunoensaio  ELISA";2;5;2
2020-06-09;"Enzimaimunoensaio - ELISA IgM";79;11;79
2020-06-09;"Imunoensaio por Eletroquimioluminescência  ECLIA";9;0;9
2020-06-09;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";21;21;21
2020-06-09;"Quimioluminescência - CLIA";1;0;1
2020-06-09;"RT-PCR";6945;6982;6945
2020-06-09;"TESTE RÁPIDO - ANTICORPO";36665;17734;36665
2020-06-09;"TESTE RÁPIDO - ANTÍGENO";2211;1573;2211
2020-06-09;NA;0;0;0
2020-06-10;"Enzimaimunoensaio  ELISA";2;0;2
2020-06-10;"Enzimaimunoensaio - ELISA IgM";27;19;27
2020-06-10;"Imunoensaio por Eletroquimioluminescência  ECLIA";2;1;2
2020-06-10;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";27;27;27
2020-06-10;"Quimioluminescência - CLIA";1;2;1
2020-06-10;"RT-PCR";6882;6860;6882
2020-06-10;"TESTE RÁPIDO - ANTICORPO";38592;19114;38592
2020-06-10;"TESTE RÁPIDO - ANTÍGENO";2541;1442;2541
2020-06-10;NA;1;0;1
2020-06-11;"Concluído";0;0;0
2020-06-11;"Enzimaimunoensaio  ELISA";1;1;1
2020-06-11;"Enzimaimunoensaio - ELISA IgM";81;6;81
2020-06-11;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";10;9;10
2020-06-11;"RT-PCR";3158;3979;3158
2020-06-11;"TESTE RÁPIDO - ANTICORPO";20174;9540;20174
2020-06-11;"TESTE RÁPIDO - ANTÍGENO";1031;616;1031
2020-06-11;NA;0;0;0
2020-06-12;"Enzimaimunoensaio  ELISA";4;1;4
2020-06-12;"Enzimaimunoensaio - ELISA IgM";79;19;79
2020-06-12;"Imunoensaio por Eletroquimioluminescência  ECLIA";6;0;6
2020-06-12;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";58;26;58
2020-06-12;"Quimioluminescência - CLIA";1;0;1
2020-06-12;"RT-PCR";5637;6134;5637
2020-06-12;"TESTE RÁPIDO - ANTICORPO";28680;14668;28680
2020-06-12;"TESTE RÁPIDO - ANTÍGENO";1899;1231;1899
2020-06-12;NA;0;0;0
2020-06-13;"Enzimaimunoensaio  ELISA";3;0;3
2020-06-13;"Enzimaimunoensaio - ELISA IgM";74;19;74
2020-06-13;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";13;15;13
2020-06-13;"RT-PCR";2350;3355;2350
2020-06-13;"TESTE RÁPIDO - ANTICORPO";9955;6049;9955
2020-06-13;"TESTE RÁPIDO - ANTÍGENO";606;510;606
2020-06-13;NA;0;0;0
2020-06-14;"Enzimaimunoensaio  ELISA";0;1;0
2020-06-14;"Enzimaimunoensaio - ELISA IgM";27;8;27
2020-06-14;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";47;27;47
2020-06-14;"RT-PCR";1636;2739;1636
2020-06-14;"TESTE RÁPIDO - ANTICORPO";6330;3739;6330
2020-06-14;"TESTE RÁPIDO - ANTÍGENO";323;297;323
2020-06-15;"Enzimaimunoensaio  ELISA";9;7;9
2020-06-15;"Enzimaimunoensaio - ELISA IgM";187;34;187
2020-06-15;"Imunoensaio por Eletroquimioluminescência  ECLIA";2;1;2
2020-06-15;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";25;34;25
2020-06-15;"Quimioluminescência - CLIA";17;0;17
2020-06-15;"RT-PCR";7476;8345;7476
2020-06-15;"TESTE RÁPIDO - ANTICORPO";38338;21333;38338
2020-06-15;"TESTE RÁPIDO - ANTÍGENO";2339;1660;2339
2020-06-15;NA;0;1;0
2020-06-16;"Enzimaimunoensaio  ELISA";13;1;13
2020-06-16;"Enzimaimunoensaio - ELISA IgM";93;33;93
2020-06-16;"Imunoensaio por Eletroquimioluminescência  ECLIA";3;0;3
2020-06-16;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";85;64;85
2020-06-16;"Quimioluminescência - CLIA";16;0;16
2020-06-16;"RT-PCR";8626;8029;8626
2020-06-16;"TESTE RÁPIDO - ANTICORPO";45667;25170;45667
2020-06-16;"TESTE RÁPIDO - ANTÍGENO";2646;1966;2646
2020-06-16;NA;0;0;0
2020-06-17;"Enzimaimunoensaio  ELISA";2;2;2
2020-06-17;"Enzimaimunoensaio - ELISA IgM";143;33;143
2020-06-17;"Imunoensaio por Eletroquimioluminescência  ECLIA";1;0;1
2020-06-17;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";42;35;42
2020-06-17;"RT-PCR";8851;8015;8851
2020-06-17;"TESTE RÁPIDO - ANTICORPO";41717;20819;41717
2020-06-17;"TESTE RÁPIDO - ANTÍGENO";2752;1499;2752
2020-06-17;NA;0;0;0
2020-06-18;"Enzimaimunoensaio  ELISA";4;2;4
2020-06-18;"Enzimaimunoensaio - ELISA IgM";130;35;130
2020-06-18;"Imunoensaio por Eletroquimioluminescência  ECLIA";6;2;6
2020-06-18;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";148;82;148
2020-06-18;"Quimioluminescência - CLIA";0;1;0
2020-06-18;"RT-PCR";8278;8373;8278
2020-06-18;"TESTE RÁPIDO - ANTICORPO";51426;21139;51426
2020-06-18;"TESTE RÁPIDO - ANTÍGENO";3069;1867;3069
2020-06-18;NA;0;0;0
2020-06-19;"Enzimaimunoensaio  ELISA";4;0;4
2020-06-19;"Enzimaimunoensaio - ELISA IgM";122;23;122
2020-06-19;"Imunoensaio por Eletroquimioluminescência  ECLIA";5;0;5
2020-06-19;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";48;52;48
2020-06-19;"Quimioluminescência - CLIA";2;0;2
2020-06-19;"RT-PCR";8073;7908;8073
2020-06-19;"TESTE RÁPIDO - ANTICORPO";39663;20312;39663
2020-06-19;"TESTE RÁPIDO - ANTÍGENO";3275;1887;3275
2020-06-19;NA;0;0;0
2020-06-20;"Enzimaimunoensaio  ELISA";3;2;3
2020-06-20;"Enzimaimunoensaio - ELISA IgM";66;12;66
2020-06-20;"Imunoensaio por Eletroquimioluminescência  ECLIA";4;0;4
2020-06-20;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";106;93;106
2020-06-20;"Quimioluminescência - CLIA";1;0;1
2020-06-20;"RT-PCR";3169;3683;3169
2020-06-20;"TESTE RÁPIDO - ANTICORPO";13642;8087;13642
2020-06-20;"TESTE RÁPIDO - ANTÍGENO";1150;623;1150
2020-06-20;NA;0;0;0
2020-06-21;"Enzimaimunoensaio - ELISA IgM";15;9;15
2020-06-21;"Imunoensaio por Eletroquimioluminescência  ECLIA";7;0;7
2020-06-21;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";8;8;8
2020-06-21;"RT-PCR";2188;2906;2188
2020-06-21;"TESTE RÁPIDO - ANTICORPO";6805;4417;6805
2020-06-21;"TESTE RÁPIDO - ANTÍGENO";657;289;657
2020-06-21;NA;0;0;0
2020-06-22;"Enzimaimunoensaio  ELISA";9;1;9
2020-06-22;"Enzimaimunoensaio - ELISA IgM";185;34;185
2020-06-22;"Imunoensaio por Eletroquimioluminescência  ECLIA";7;8;7
2020-06-22;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";116;133;116
2020-06-22;"Quimioluminescência - CLIA";3;0;3
2020-06-22;"RT-PCR";9604;10575;9604
2020-06-22;"TESTE RÁPIDO - ANTICORPO";42554;23200;42554
2020-06-22;"TESTE RÁPIDO - ANTÍGENO";3346;2065;3346
2020-06-22;NA;0;0;0
2020-06-23;"Enzimaimunoensaio  ELISA";19;0;19
2020-06-23;"Enzimaimunoensaio - ELISA IgM";122;99;122
2020-06-23;"Imunoensaio por Eletroquimioluminescência  ECLIA";9;7;9
2020-06-23;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";174;88;174
2020-06-23;"Quimioluminescência - CLIA";13;2;13
2020-06-23;"RT-PCR";8712;9533;8712
2020-06-23;"TESTE RÁPIDO - ANTICORPO";42471;21430;42471
2020-06-23;"TESTE RÁPIDO - ANTÍGENO";3108;1856;3108
2020-06-23;NA;0;0;0
2020-06-24;"Enzimaimunoensaio  ELISA";22;2;22
2020-06-24;"Enzimaimunoensaio - ELISA IgM";58;32;58
2020-06-24;"Imunoensaio por Eletroquimioluminescência  ECLIA";23;20;23
2020-06-24;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";106;86;106
2020-06-24;"Quimioluminescência - CLIA";6;2;6
2020-06-24;"RT-PCR";8946;8461;8946
2020-06-24;"TESTE RÁPIDO - ANTICORPO";37114;19322;37114
2020-06-24;"TESTE RÁPIDO - ANTÍGENO";2782;1725;2782
2020-06-24;NA;0;0;0
2020-06-25;"Enzimaimunoensaio  ELISA";7;0;7
2020-06-25;"Enzimaimunoensaio - ELISA IgM";113;39;113
2020-06-25;"Imunoensaio por Eletroquimioluminescência  ECLIA";23;29;23
2020-06-25;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";165;129;165
2020-06-25;"Quimioluminescência - CLIA";3;0;3
2020-06-25;"RT-PCR";9563;9204;9563
2020-06-25;"TESTE RÁPIDO - ANTICORPO";44287;22265;44287
2020-06-25;"TESTE RÁPIDO - ANTÍGENO";3508;2044;3508
2020-06-25;NA;0;0;0
2020-06-26;"Enzimaimunoensaio  ELISA";15;4;15
2020-06-26;"Enzimaimunoensaio - ELISA IgM";111;33;111
2020-06-26;"Imunoensaio por Eletroquimioluminescência  ECLIA";25;30;25
2020-06-26;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";236;208;236
2020-06-26;"Quimioluminescência - CLIA";9;4;9
2020-06-26;"RT-PCR";8994;8767;8994
2020-06-26;"TESTE RÁPIDO - ANTICORPO";43289;21966;43289
2020-06-26;"TESTE RÁPIDO - ANTÍGENO";3419;2201;3419
2020-06-26;NA;0;0;0
2020-06-27;"Enzimaimunoensaio  ELISA";29;0;29
2020-06-27;"Enzimaimunoensaio - ELISA IgM";37;62;37
2020-06-27;"Imunoensaio por Eletroquimioluminescência  ECLIA";5;9;5
2020-06-27;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";83;77;83
2020-06-27;"Quimioluminescência - CLIA";1;0;1
2020-06-27;"RT-PCR";3748;3846;3748
2020-06-27;"TESTE RÁPIDO - ANTICORPO";49482;13894;49482
2020-06-27;"TESTE RÁPIDO - ANTÍGENO";1135;878;1135
2020-06-27;NA;0;0;0
2020-06-28;"Enzimaimunoensaio  ELISA";18;1;18
2020-06-28;"Enzimaimunoensaio - ELISA IgM";80;48;80
2020-06-28;"Imunoensaio por Eletroquimioluminescência  ECLIA";9;3;9
2020-06-28;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";14;41;14
2020-06-28;"Quimioluminescência - CLIA";1;1;1
2020-06-28;"RT-PCR";2533;2975;2533
2020-06-28;"TESTE RÁPIDO - ANTICORPO";44804;5406;44804
2020-06-28;"TESTE RÁPIDO - ANTÍGENO";528;452;528
2020-06-28;NA;0;0;0
2020-06-29;"Enzimaimunoensaio  ELISA";61;2;61
2020-06-29;"Enzimaimunoensaio - ELISA IgM";169;98;169
2020-06-29;"Imunoensaio por Eletroquimioluminescência  ECLIA";5;3;5
2020-06-29;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";148;168;148
2020-06-29;"Quimioluminescência - CLIA";4;4;4
2020-06-29;"RT-PCR";10965;10129;10965
2020-06-29;"TESTE RÁPIDO - ANTICORPO";54839;23641;54839
2020-06-29;"TESTE RÁPIDO - ANTÍGENO";3060;1968;3060
2020-06-29;NA;0;0;0
2020-06-30;"Enzimaimunoensaio  ELISA";63;3;63
2020-06-30;"Enzimaimunoensaio - ELISA IgM";176;182;176
2020-06-30;"Imunoensaio por Eletroquimioluminescência  ECLIA";8;7;8
2020-06-30;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";389;323;389
2020-06-30;"Quimioluminescência - CLIA";4;4;4
2020-06-30;"RT-PCR";9894;10444;9894
2020-06-30;"TESTE RÁPIDO - ANTICORPO";50822;23748;50822
2020-06-30;"TESTE RÁPIDO - ANTÍGENO";3970;2424;3970
2020-06-30;NA;0;0;0
2020-07-01;"Enzimaimunoensaio  ELISA";69;2;69
2020-07-01;"Enzimaimunoensaio - ELISA IgM";207;262;207
2020-07-01;"Imunoensaio por Eletroquimioluminescência  ECLIA";12;21;12
2020-07-01;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";431;412;431
2020-07-01;"Quimioluminescência - CLIA";5;2;5
2020-07-01;"RT-PCR";9802;8862;9802
2020-07-01;"TESTE RÁPIDO - ANTICORPO";43065;22294;43065
2020-07-01;"TESTE RÁPIDO - ANTÍGENO";3595;1974;3595
2020-07-01;NA;0;0;0
2020-07-02;"Enzimaimunoensaio  ELISA";45;3;45
2020-07-02;"Enzimaimunoensaio - ELISA IgM";129;214;129
2020-07-02;"Imunoensaio por Eletroquimioluminescência  ECLIA";23;15;23
2020-07-02;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";423;392;423
2020-07-02;"Quimioluminescência - CLIA";3;1;3
2020-07-02;"RT-PCR";9997;9434;9997
2020-07-02;"TESTE RÁPIDO - ANTICORPO";43872;21761;43872
2020-07-02;"TESTE RÁPIDO - ANTÍGENO";3442;2232;3442
2020-07-02;NA;0;0;0
2020-07-03;"Enzimaimunoensaio  ELISA";46;3;46
2020-07-03;"Enzimaimunoensaio - ELISA IgM";147;269;147
2020-07-03;"Imunoensaio por Eletroquimioluminescência  ECLIA";49;21;49
2020-07-03;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";427;376;427
2020-07-03;"Quimioluminescência - CLIA";1;3;1
2020-07-03;"RT-PCR";10366;9022;10366
2020-07-03;"TESTE RÁPIDO - ANTICORPO";79715;26676;79715
2020-07-03;"TESTE RÁPIDO - ANTÍGENO";3833;2081;3833
2020-07-03;NA;0;2;0
2020-07-04;"Enzimaimunoensaio  ELISA";50;2;50
2020-07-04;"Enzimaimunoensaio - ELISA IgM";114;119;114
2020-07-04;"Imunoensaio por Eletroquimioluminescência  ECLIA";5;12;5
2020-07-04;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";169;222;169
2020-07-04;"Quimioluminescência - CLIA";1;2;1
2020-07-04;"RT-PCR";3589;4398;3589
2020-07-04;"TESTE RÁPIDO - ANTICORPO";22757;8585;22757
2020-07-04;"TESTE RÁPIDO - ANTÍGENO";1378;734;1378
2020-07-04;NA;0;0;0
2020-07-05;"Enzimaimunoensaio  ELISA";9;0;9
2020-07-05;"Enzimaimunoensaio - ELISA IgM";48;149;48
2020-07-05;"Imunoensaio por Eletroquimioluminescência  ECLIA";23;0;23
2020-07-05;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";65;81;65
2020-07-05;"RT-PCR";2440;3071;2440
